 Date__(UT)__HR:MN, , ,            delta,     deldot,  Tru_Anom,
****************************************************************
$$SOE
 2001-Sep-17 06:00, , , 3.86601806839735,  3.1427717,   81.5648,
 2001-Sep-17 09:00, , , 3.86624495844016,  3.1428992,   81.5812,
 2001-Sep-17 12:00, , , 3.86647185767694,  3.1430264,   81.5977,
 2001-Sep-17 15:00, , , 3.86669876608799,  3.1431534,   81.6141,
 2001-Sep-17 18:00, , , 3.86692568365364,  3.1432800,   81.6305,
 2001-Sep-17 21:00, , , 3.86715261035422,  3.1434064,   81.6469,
 2001-Sep-18 00:00, , , 3.86737954617005,  3.1435326,   81.6634,
 2001-Sep-18 03:00, , , 3.86760649108149,  3.1436584,   81.6798,
 2001-Sep-18 06:00, , , 3.86783344506887,  3.1437840,   81.6962,
 2001-Sep-18 09:00, , , 3.86806040811254,  3.1439093,   81.7126,
 2001-Sep-18 12:00, , , 3.86828738019287,  3.1440344,   81.7290,
 2001-Sep-18 15:00, , , 3.86851436129021,  3.1441591,   81.7454,
 2001-Sep-18 18:00, , , 3.86874135138494,  3.1442836,   81.7618,
 2001-Sep-18 21:00, , , 3.86896835045743,  3.1444078,   81.7782,
 2001-Sep-19 00:00, , , 3.86919535848806,  3.1445318,   81.7947,
 2001-Sep-19 03:00, , , 3.86942237545722,  3.1446555,   81.8111,
 2001-Sep-19 06:00, , , 3.86964940134530,  3.1447789,   81.8275,
 2001-Sep-19 09:00, , , 3.86987643613271,  3.1449020,   81.8439,
 2001-Sep-19 12:00, , , 3.87010347979984,  3.1450249,   81.8602,
 2001-Sep-19 15:00, , , 3.87033053232710,  3.1451475,   81.8766,
 2001-Sep-19 18:00, , , 3.87055759369493,  3.1452698,   81.8930,
 2001-Sep-19 21:00, , , 3.87078466388373,  3.1453918,   81.9094,
 2001-Sep-20 00:00, , , 3.87101174287393,  3.1455136,   81.9258,
 2001-Sep-20 03:00, , , 3.87123883064598,  3.1456351,   81.9422,
 2001-Sep-20 06:00, , , 3.87146592718030,  3.1457564,   81.9586,
 2001-Sep-20 09:00, , , 3.87169303245736,  3.1458773,   81.9750,
 2001-Sep-20 12:00, , , 3.87192014645760,  3.1459980,   81.9913,
 2001-Sep-20 15:00, , , 3.87214726916147,  3.1461185,   82.0077,
 2001-Sep-20 18:00, , , 3.87237440054945,  3.1462386,   82.0241,
 2001-Sep-20 21:00, , , 3.87260154060201,  3.1463585,   82.0405,
 2001-Sep-21 00:00, , , 3.87282868929961,  3.1464781,   82.0568,
 2001-Sep-21 03:00, , , 3.87305584662275,  3.1465975,   82.0732,
 2001-Sep-21 06:00, , , 3.87328301255192,  3.1467166,   82.0896,
 2001-Sep-21 09:00, , , 3.87351018706759,  3.1468354,   82.1060,
 2001-Sep-21 12:00, , , 3.87373737015029,  3.1469539,   82.1223,
 2001-Sep-21 15:00, , , 3.87396456178050,  3.1470722,   82.1387,
 2001-Sep-21 18:00, , , 3.87419176193876,  3.1471902,   82.1550,
 2001-Sep-21 21:00, , , 3.87441897060556,  3.1473079,   82.1714,
 2001-Sep-22 00:00, , , 3.87464618776145,  3.1474253,   82.1878,
 2001-Sep-22 03:00, , , 3.87487341338694,  3.1475425,   82.2041,
 2001-Sep-22 06:00, , , 3.87510064746257,  3.1476594,   82.2205,
 2001-Sep-22 09:00, , , 3.87532788996889,  3.1477761,   82.2368,
 2001-Sep-22 12:00, , , 3.87555514088644,  3.1478925,   82.2532,
 2001-Sep-22 15:00, , , 3.87578240019578,  3.1480086,   82.2695,
 2001-Sep-22 18:00, , , 3.87600966787747,  3.1481244,   82.2859,
 2001-Sep-22 21:00, , , 3.87623694391207,  3.1482400,   82.3022,
 2001-Sep-23 00:00, , , 3.87646422828016,  3.1483553,   82.3186,
 2001-Sep-23 03:00, , , 3.87669152096231,  3.1484703,   82.3349,
 2001-Sep-23 06:00, , , 3.87691882193911,  3.1485851,   82.3512,
 2001-Sep-23 09:00, , , 3.87714613119114,  3.1486996,   82.3676,
 2001-Sep-23 12:00, , , 3.87737344869901,  3.1488138,   82.3839,
 2001-Sep-23 15:00, , , 3.87760077444330,  3.1489277,   82.4002,
 2001-Sep-23 18:00, , , 3.87782810840464,  3.1490414,   82.4166,
 2001-Sep-23 21:00, , , 3.87805545056364,  3.1491548,   82.4329,
 2001-Sep-24 00:00, , , 3.87828280090090,  3.1492680,   82.4492,
 2001-Sep-24 03:00, , , 3.87851015939707,  3.1493809,   82.4655,
 2001-Sep-24 06:00, , , 3.87873752603277,  3.1494935,   82.4819,
 2001-Sep-24 09:00, , , 3.87896490078864,  3.1496058,   82.4982,
 2001-Sep-24 12:00, , , 3.87919228364531,  3.1497179,   82.5145,
 2001-Sep-24 15:00, , , 3.87941967458345,  3.1498297,   82.5308,
 2001-Sep-24 18:00, , , 3.87964707358371,  3.1499413,   82.5471,
 2001-Sep-24 21:00, , , 3.87987448062674,  3.1500525,   82.5635,
 2001-Sep-25 00:00, , , 3.88010189569322,  3.1501636,   82.5798,
 2001-Sep-25 03:00, , , 3.88032931876381,  3.1502743,   82.5961,
 2001-Sep-25 06:00, , , 3.88055674981920,  3.1503848,   82.6124,
 2001-Sep-25 09:00, , , 3.88078418884008,  3.1504950,   82.6287,
 2001-Sep-25 12:00, , , 3.88101163580712,  3.1506049,   82.6450,
 2001-Sep-25 15:00, , , 3.88123909070104,  3.1507146,   82.6613,
 2001-Sep-25 18:00, , , 3.88146655350252,  3.1508240,   82.6776,
 2001-Sep-25 21:00, , , 3.88169402419229,  3.1509331,   82.6939,
 2001-Sep-26 00:00, , , 3.88192150275106,  3.1510420,   82.7102,
 2001-Sep-26 03:00, , , 3.88214898915954,  3.1511506,   82.7265,
 2001-Sep-26 06:00, , , 3.88237648339847,  3.1512589,   82.7428,
 2001-Sep-26 09:00, , , 3.88260398544857,  3.1513670,   82.7591,
 2001-Sep-26 12:00, , , 3.88283149529058,  3.1514748,   82.7754,
 2001-Sep-26 15:00, , , 3.88305901290526,  3.1515823,   82.7916,
 2001-Sep-26 18:00, , , 3.88328653827335,  3.1516896,   82.8079,
 2001-Sep-26 21:00, , , 3.88351407137560,  3.1517966,   82.8242,
 2001-Sep-27 00:00, , , 3.88374161219279,  3.1519033,   82.8405,
 2001-Sep-27 03:00, , , 3.88396916070567,  3.1520098,   82.8568,
 2001-Sep-27 06:00, , , 3.88419671689502,  3.1521160,   82.8730,
 2001-Sep-27 09:00, , , 3.88442428074163,  3.1522219,   82.8893,
 2001-Sep-27 12:00, , , 3.88465185222627,  3.1523276,   82.9056,
 2001-Sep-27 15:00, , , 3.88487943132975,  3.1524330,   82.9219,
 2001-Sep-27 18:00, , , 3.88510701803285,  3.1525381,   82.9381,
 2001-Sep-27 21:00, , , 3.88533461231639,  3.1526430,   82.9544,
 2001-Sep-28 00:00, , , 3.88556221416118,  3.1527476,   82.9707,
 2001-Sep-28 03:00, , , 3.88578982354802,  3.1528519,   82.9869,
 2001-Sep-28 06:00, , , 3.88601744045774,  3.1529560,   83.0032,
 2001-Sep-28 09:00, , , 3.88624506487118,  3.1530598,   83.0195,
 2001-Sep-28 12:00, , , 3.88647269676916,  3.1531634,   83.0357,
 2001-Sep-28 15:00, , , 3.88670033613253,  3.1532666,   83.0520,
 2001-Sep-28 18:00, , , 3.88692798294212,  3.1533697,   83.0682,
 2001-Sep-28 21:00, , , 3.88715563717880,  3.1534724,   83.0845,
 2001-Sep-29 00:00, , , 3.88738329882341,  3.1535749,   83.1007,
 2001-Sep-29 03:00, , , 3.88761096785683,  3.1536771,   83.1170,
 2001-Sep-29 06:00, , , 3.88783864425993,  3.1537790,   83.1332,
 2001-Sep-29 09:00, , , 3.88806632801357,  3.1538807,   83.1495,
 2001-Sep-29 12:00, , , 3.88829401909864,  3.1539822,   83.1657,
 2001-Sep-29 15:00, , , 3.88852171749604,  3.1540833,   83.1819,
 2001-Sep-29 18:00, , , 3.88874942318664,  3.1541842,   83.1982,
 2001-Sep-29 21:00, , , 3.88897713615136,  3.1542848,   83.2144,
 2001-Sep-30 00:00, , , 3.88920485637109,  3.1543852,   83.2307,
 2001-Sep-30 03:00, , , 3.88943258382675,  3.1544853,   83.2469,
 2001-Sep-30 06:00, , , 3.88966031849926,  3.1545851,   83.2631,
 2001-Sep-30 09:00, , , 3.88988806036954,  3.1546847,   83.2793,
 2001-Sep-30 12:00, , , 3.89011580941852,  3.1547840,   83.2956,
 2001-Sep-30 15:00, , , 3.89034356562713,  3.1548831,   83.3118,
 2001-Sep-30 18:00, , , 3.89057132897632,  3.1549818,   83.3280,
 2001-Sep-30 21:00, , , 3.89079909944703,  3.1550803,   83.3442,
 2001-Oct-01 00:00, , , 3.89102687702021,  3.1551786,   83.3605,
 2001-Oct-01 03:00, , , 3.89125466167683,  3.1552766,   83.3767,
 2001-Oct-01 06:00, , , 3.89148245339786,  3.1553743,   83.3929,
 2001-Oct-01 09:00, , , 3.89171025216425,  3.1554718,   83.4091,
 2001-Oct-01 12:00, , , 3.89193805795699,  3.1555690,   83.4253,
 2001-Oct-01 15:00, , , 3.89216587075707,  3.1556659,   83.4415,
 2001-Oct-01 18:00, , , 3.89239369054546,  3.1557626,   83.4577,
 2001-Oct-01 21:00, , , 3.89262151730317,  3.1558590,   83.4740,
 2001-Oct-02 00:00, , , 3.89284935101120,  3.1559551,   83.4902,
 2001-Oct-02 03:00, , , 3.89307719165054,  3.1560510,   83.5064,
 2001-Oct-02 06:00, , , 3.89330503920223,  3.1561466,   83.5226,
 2001-Oct-02 09:00, , , 3.89353289364727,  3.1562420,   83.5388,
 2001-Oct-02 12:00, , , 3.89376075496669,  3.1563371,   83.5550,
 2001-Oct-02 15:00, , , 3.89398862314152,  3.1564319,   83.5711,
 2001-Oct-02 18:00, , , 3.89421649815279,  3.1565265,   83.5873,
 2001-Oct-02 21:00, , , 3.89444437998156,  3.1566208,   83.6035,
 2001-Oct-03 00:00, , , 3.89467226860886,  3.1567148,   83.6197,
 2001-Oct-03 03:00, , , 3.89490016401575,  3.1568086,   83.6359,
 2001-Oct-03 06:00, , , 3.89512806618330,  3.1569021,   83.6521,
 2001-Oct-03 09:00, , , 3.89535597509257,  3.1569954,   83.6683,
 2001-Oct-03 12:00, , , 3.89558389072462,  3.1570884,   83.6845,
 2001-Oct-03 15:00, , , 3.89581181306055,  3.1571811,   83.7006,
 2001-Oct-03 18:00, , , 3.89603974208143,  3.1572736,   83.7168,
 2001-Oct-03 21:00, , , 3.89626767776836,  3.1573658,   83.7330,
 2001-Oct-04 00:00, , , 3.89649562010243,  3.1574577,   83.7492,
 2001-Oct-04 03:00, , , 3.89672356906473,  3.1575494,   83.7653,
 2001-Oct-04 06:00, , , 3.89695152463639,  3.1576408,   83.7815,
 2001-Oct-04 09:00, , , 3.89717948679852,  3.1577320,   83.7977,
 2001-Oct-04 12:00, , , 3.89740745553223,  3.1578229,   83.8138,
 2001-Oct-04 15:00, , , 3.89763543081865,  3.1579135,   83.8300,
 2001-Oct-04 18:00, , , 3.89786341263891,  3.1580039,   83.8462,
 2001-Oct-04 21:00, , , 3.89809140097416,  3.1580940,   83.8623,
 2001-Oct-05 00:00, , , 3.89831939580553,  3.1581838,   83.8785,
 2001-Oct-05 03:00, , , 3.89854739711417,  3.1582734,   83.8946,
 2001-Oct-05 06:00, , , 3.89877540488124,  3.1583628,   83.9108,
 2001-Oct-05 09:00, , , 3.89900341908791,  3.1584518,   83.9270,
 2001-Oct-05 12:00, , , 3.89923143971533,  3.1585407,   83.9431,
 2001-Oct-05 15:00, , , 3.89945946674469,  3.1586292,   83.9593,
 2001-Oct-05 18:00, , , 3.89968750015716,  3.1587175,   83.9754,
 2001-Oct-05 21:00, , , 3.89991553993392,  3.1588055,   83.9915,
 2001-Oct-06 00:00, , , 3.90014358605618,  3.1588933,   84.0077,
 2001-Oct-06 03:00, , , 3.90037163850513,  3.1589808,   84.0238,
 2001-Oct-06 06:00, , , 3.90059969726196,  3.1590680,   84.0400,
 2001-Oct-06 09:00, , , 3.90082776230790,  3.1591550,   84.0561,
 2001-Oct-06 12:00, , , 3.90105583362415,  3.1592418,   84.0722,
 2001-Oct-06 15:00, , , 3.90128391119194,  3.1593282,   84.0884,
 2001-Oct-06 18:00, , , 3.90151199499249,  3.1594144,   84.1045,
 2001-Oct-06 21:00, , , 3.90174008500703,  3.1595004,   84.1206,
 2001-Oct-07 00:00, , , 3.90196818121682,  3.1595861,   84.1368,
 2001-Oct-07 03:00, , , 3.90219628360308,  3.1596715,   84.1529,
 2001-Oct-07 06:00, , , 3.90242439214708,  3.1597566,   84.1690,
 2001-Oct-07 09:00, , , 3.90265250683006,  3.1598416,   84.1851,
 2001-Oct-07 12:00, , , 3.90288062763330,  3.1599262,   84.2013,
 2001-Oct-07 15:00, , , 3.90310875453806,  3.1600106,   84.2174,
 2001-Oct-07 18:00, , , 3.90333688752561,  3.1600947,   84.2335,
 2001-Oct-07 21:00, , , 3.90356502657724,  3.1601786,   84.2496,
 2001-Oct-08 00:00, , , 3.90379317167424,  3.1602622,   84.2657,
 2001-Oct-08 03:00, , , 3.90402132279789,  3.1603456,   84.2818,
 2001-Oct-08 06:00, , , 3.90424947992949,  3.1604286,   84.2979,
 2001-Oct-08 09:00, , , 3.90447764305036,  3.1605115,   84.3141,
 2001-Oct-08 12:00, , , 3.90470581214179,  3.1605941,   84.3302,
 2001-Oct-08 15:00, , , 3.90493398718511,  3.1606764,   84.3463,
 2001-Oct-08 18:00, , , 3.90516216816164,  3.1607584,   84.3624,
 2001-Oct-08 21:00, , , 3.90539035505270,  3.1608402,   84.3785,
 2001-Oct-09 00:00, , , 3.90561854783964,  3.1609218,   84.3946,
 2001-Oct-09 03:00, , , 3.90584674650379,  3.1610030,   84.4107,
 2001-Oct-09 06:00, , , 3.90607495102650,  3.1610841,   84.4268,
 2001-Oct-09 09:00, , , 3.90630316138911,  3.1611648,   84.4428,
 2001-Oct-09 12:00, , , 3.90653137757300,  3.1612453,   84.4589,
 2001-Oct-09 15:00, , , 3.90675959955952,  3.1613256,   84.4750,
 2001-Oct-09 18:00, , , 3.90698782733004,  3.1614056,   84.4911,
 2001-Oct-09 21:00, , , 3.90721606086594,  3.1614853,   84.5072,
 2001-Oct-10 00:00, , , 3.90744430014860,  3.1615648,   84.5233,
 2001-Oct-10 03:00, , , 3.90767254515941,  3.1616440,   84.5394,
 2001-Oct-10 06:00, , , 3.90790079587976,  3.1617230,   84.5554,
 2001-Oct-10 09:00, , , 3.90812905229105,  3.1618017,   84.5715,
 2001-Oct-10 12:00, , , 3.90835731437469,  3.1618801,   84.5876,
 2001-Oct-10 15:00, , , 3.90858558211209,  3.1619583,   84.6037,
 2001-Oct-10 18:00, , , 3.90881385548467,  3.1620362,   84.6197,
 2001-Oct-10 21:00, , , 3.90904213447385,  3.1621139,   84.6358,
 2001-Oct-11 00:00, , , 3.90927041906106,  3.1621913,   84.6519,
 2001-Oct-11 03:00, , , 3.90949870922773,  3.1622685,   84.6679,
 2001-Oct-11 06:00, , , 3.90972700495531,  3.1623454,   84.6840,
 2001-Oct-11 09:00, , , 3.90995530622525,  3.1624220,   84.7001,
 2001-Oct-11 12:00, , , 3.91018361301900,  3.1624984,   84.7161,
 2001-Oct-11 15:00, , , 3.91041192531801,  3.1625745,   84.7322,
 2001-Oct-11 18:00, , , 3.91064024310375,  3.1626504,   84.7482,
 2001-Oct-11 21:00, , , 3.91086856635770,  3.1627260,   84.7643,
 2001-Oct-12 00:00, , , 3.91109689506133,  3.1628014,   84.7803,
 2001-Oct-12 03:00, , , 3.91132522919613,  3.1628765,   84.7964,
 2001-Oct-12 06:00, , , 3.91155356874357,  3.1629513,   84.8124,
 2001-Oct-12 09:00, , , 3.91178191368517,  3.1630259,   84.8285,
 2001-Oct-12 12:00, , , 3.91201026400241,  3.1631003,   84.8445,
 2001-Oct-12 15:00, , , 3.91223861967681,  3.1631743,   84.8606,
 2001-Oct-12 18:00, , , 3.91246698068988,  3.1632482,   84.8766,
 2001-Oct-12 21:00, , , 3.91269534702313,  3.1633217,   84.8926,
 2001-Oct-13 00:00, , , 3.91292371865810,  3.1633950,   84.9087,
 2001-Oct-13 03:00, , , 3.91315209557631,  3.1634681,   84.9247,
 2001-Oct-13 06:00, , , 3.91338047775929,  3.1635409,   84.9408,
 2001-Oct-13 09:00, , , 3.91360886518860,  3.1636134,   84.9568,
 2001-Oct-13 12:00, , , 3.91383725784578,  3.1636857,   84.9728,
 2001-Oct-13 15:00, , , 3.91406565571238,  3.1637578,   84.9888,
 2001-Oct-13 18:00, , , 3.91429405876997,  3.1638295,   85.0049,
 2001-Oct-13 21:00, , , 3.91452246700011,  3.1639011,   85.0209,
 2001-Oct-14 00:00, , , 3.91475088038437,  3.1639723,   85.0369,
 2001-Oct-14 03:00, , , 3.91497929890434,  3.1640433,   85.0529,
 2001-Oct-14 06:00, , , 3.91520772254159,  3.1641141,   85.0690,
 2001-Oct-14 09:00, , , 3.91543615127771,  3.1641846,   85.0850,
 2001-Oct-14 12:00, , , 3.91566458509431,  3.1642548,   85.1010,
 2001-Oct-14 15:00, , , 3.91589302397298,  3.1643248,   85.1170,
 2001-Oct-14 18:00, , , 3.91612146789533,  3.1643946,   85.1330,
 2001-Oct-14 21:00, , , 3.91634991684297,  3.1644641,   85.1490,
 2001-Oct-15 00:00, , , 3.91657837079753,  3.1645333,   85.1650,
 2001-Oct-15 03:00, , , 3.91680682974063,  3.1646023,   85.1810,
 2001-Oct-15 06:00, , , 3.91703529365391,  3.1646710,   85.1970,
 2001-Oct-15 09:00, , , 3.91726376251899,  3.1647394,   85.2130,
 2001-Oct-15 12:00, , , 3.91749223631752,  3.1648077,   85.2290,
 2001-Oct-15 15:00, , , 3.91772071503116,  3.1648756,   85.2450,
 2001-Oct-15 18:00, , , 3.91794919864156,  3.1649433,   85.2610,
 2001-Oct-15 21:00, , , 3.91817768713037,  3.1650108,   85.2770,
 2001-Oct-16 00:00, , , 3.91840618047927,  3.1650780,   85.2930,
 2001-Oct-16 03:00, , , 3.91863467866993,  3.1651449,   85.3090,
 2001-Oct-16 06:00, , , 3.91886318168403,  3.1652116,   85.3250,
 2001-Oct-16 09:00, , , 3.91909168950326,  3.1652780,   85.3410,
 2001-Oct-16 12:00, , , 3.91932020210930,  3.1653442,   85.3569,
 2001-Oct-16 15:00, , , 3.91954871948385,  3.1654101,   85.3729,
 2001-Oct-16 18:00, , , 3.91977724160861,  3.1654758,   85.3889,
 2001-Oct-16 21:00, , , 3.92000576846530,  3.1655412,   85.4049,
 2001-Oct-17 00:00, , , 3.92023430003562,  3.1656064,   85.4209,
 2001-Oct-17 03:00, , , 3.92046283630131,  3.1656713,   85.4368,
 2001-Oct-17 06:00, , , 3.92069137724408,  3.1657360,   85.4528,
 2001-Oct-17 09:00, , , 3.92091992284567,  3.1658004,   85.4688,
 2001-Oct-17 12:00, , , 3.92114847308781,  3.1658645,   85.4848,
 2001-Oct-17 15:00, , , 3.92137702795225,  3.1659284,   85.5007,
 2001-Oct-17 18:00, , , 3.92160558742075,  3.1659921,   85.5167,
 2001-Oct-17 21:00, , , 3.92183415147505,  3.1660555,   85.5326,
 2001-Oct-18 00:00, , , 3.92206272009692,  3.1661186,   85.5486,
 2001-Oct-18 03:00, , , 3.92229129326813,  3.1661815,   85.5646,
 2001-Oct-18 06:00, , , 3.92251987097045,  3.1662441,   85.5805,
 2001-Oct-18 09:00, , , 3.92274845318567,  3.1663065,   85.5965,
 2001-Oct-18 12:00, , , 3.92297703989556,  3.1663687,   85.6124,
 2001-Oct-18 15:00, , , 3.92320563108192,  3.1664305,   85.6284,
 2001-Oct-18 18:00, , , 3.92343422672654,  3.1664922,   85.6443,
 2001-Oct-18 21:00, , , 3.92366282681124,  3.1665535,   85.6603,
 2001-Oct-19 00:00, , , 3.92389143131782,  3.1666147,   85.6762,
 2001-Oct-19 03:00, , , 3.92412004022809,  3.1666755,   85.6922,
 2001-Oct-19 06:00, , , 3.92434865352388,  3.1667362,   85.7081,
 2001-Oct-19 09:00, , , 3.92457727118702,  3.1667965,   85.7241,
 2001-Oct-19 12:00, , , 3.92480589319933,  3.1668567,   85.7400,
 2001-Oct-19 15:00, , , 3.92503451954267,  3.1669165,   85.7559,
 2001-Oct-19 18:00, , , 3.92526315019886,  3.1669761,   85.7719,
 2001-Oct-19 21:00, , , 3.92549178514977,  3.1670355,   85.7878,
 2001-Oct-20 00:00, , , 3.92572042437725,  3.1670946,   85.8037,
 2001-Oct-20 03:00, , , 3.92594906786316,  3.1671535,   85.8197,
 2001-Oct-20 06:00, , , 3.92617771558938,  3.1672121,   85.8356,
 2001-Oct-20 09:00, , , 3.92640636753777,  3.1672705,   85.8515,
 2001-Oct-20 12:00, , , 3.92663502369022,  3.1673286,   85.8674,
 2001-Oct-20 15:00, , , 3.92686368402862,  3.1673864,   85.8834,
 2001-Oct-20 18:00, , , 3.92709234853485,  3.1674440,   85.8993,
 2001-Oct-20 21:00, , , 3.92732101719083,  3.1675014,   85.9152,
 2001-Oct-21 00:00, , , 3.92754968997844,  3.1675585,   85.9311,
 2001-Oct-21 03:00, , , 3.92777836687960,  3.1676153,   85.9470,
 2001-Oct-21 06:00, , , 3.92800704787623,  3.1676720,   85.9629,
 2001-Oct-21 09:00, , , 3.92823573295025,  3.1677283,   85.9788,
 2001-Oct-21 12:00, , , 3.92846442208358,  3.1677844,   85.9948,
 2001-Oct-21 15:00, , , 3.92869311525817,  3.1678403,   86.0107,
 2001-Oct-21 18:00, , , 3.92892181245595,  3.1678959,   86.0266,
 2001-Oct-21 21:00, , , 3.92915051365886,  3.1679512,   86.0425,
 2001-Oct-22 00:00, , , 3.92937921884887,  3.1680063,   86.0584,
 2001-Oct-22 03:00, , , 3.92960792800792,  3.1680612,   86.0743,
 2001-Oct-22 06:00, , , 3.92983664111799,  3.1681158,   86.0902,
 2001-Oct-22 09:00, , , 3.93006535816103,  3.1681701,   86.1061,
 2001-Oct-22 12:00, , , 3.93029407911903,  3.1682242,   86.1220,
 2001-Oct-22 15:00, , , 3.93052280397396,  3.1682781,   86.1379,
 2001-Oct-22 18:00, , , 3.93075153270782,  3.1683317,   86.1537,
 2001-Oct-22 21:00, , , 3.93098026530260,  3.1683851,   86.1696,
 2001-Oct-23 00:00, , , 3.93120900174029,  3.1684382,   86.1855,
 2001-Oct-23 03:00, , , 3.93143774200291,  3.1684910,   86.2014,
 2001-Oct-23 06:00, , , 3.93166648607246,  3.1685436,   86.2173,
 2001-Oct-23 09:00, , , 3.93189523393095,  3.1685960,   86.2332,
 2001-Oct-23 12:00, , , 3.93212398556043,  3.1686481,   86.2490,
 2001-Oct-23 15:00, , , 3.93235274094290,  3.1687000,   86.2649,
 2001-Oct-23 18:00, , , 3.93258150006041,  3.1687516,   86.2808,
 2001-Oct-23 21:00, , , 3.93281026289499,  3.1688029,   86.2967,
 2001-Oct-24 00:00, , , 3.93303902942870,  3.1688541,   86.3125,
 2001-Oct-24 03:00, , , 3.93326779964358,  3.1689049,   86.3284,
 2001-Oct-24 06:00, , , 3.93349657352170,  3.1689555,   86.3443,
 2001-Oct-24 09:00, , , 3.93372535104511,  3.1690059,   86.3601,
 2001-Oct-24 12:00, , , 3.93395413219589,  3.1690560,   86.3760,
 2001-Oct-24 15:00, , , 3.93418291695612,  3.1691059,   86.3919,
 2001-Oct-24 18:00, , , 3.93441170530787,  3.1691555,   86.4077,
 2001-Oct-24 21:00, , , 3.93464049723323,  3.1692049,   86.4236,
 2001-Oct-25 00:00, , , 3.93486929271431,  3.1692540,   86.4394,
 2001-Oct-25 03:00, , , 3.93509809173319,  3.1693029,   86.4553,
 2001-Oct-25 06:00, , , 3.93532689427198,  3.1693516,   86.4712,
 2001-Oct-25 09:00, , , 3.93555570031279,  3.1693999,   86.4870,
 2001-Oct-25 12:00, , , 3.93578450983775,  3.1694481,   86.5029,
 2001-Oct-25 15:00, , , 3.93601332282897,  3.1694960,   86.5187,
 2001-Oct-25 18:00, , , 3.93624213926859,  3.1695436,   86.5346,
 2001-Oct-25 21:00, , , 3.93647095913873,  3.1695910,   86.5504,
 2001-Oct-26 00:00, , , 3.93669978242155,  3.1696382,   86.5662,
 2001-Oct-26 03:00, , , 3.93692860909918,  3.1696851,   86.5821,
 2001-Oct-26 06:00, , , 3.93715743915378,  3.1697317,   86.5979,
 2001-Oct-26 09:00, , , 3.93738627256751,  3.1697781,   86.6138,
 2001-Oct-26 12:00, , , 3.93761510932253,  3.1698243,   86.6296,
 2001-Oct-26 15:00, , , 3.93784394940102,  3.1698702,   86.6454,
 2001-Oct-26 18:00, , , 3.93807279278515,  3.1699159,   86.6613,
 2001-Oct-26 21:00, , , 3.93830163945710,  3.1699613,   86.6771,
 2001-Oct-27 00:00, , , 3.93853048939906,  3.1700065,   86.6929,
 2001-Oct-27 03:00, , , 3.93875934259322,  3.1700514,   86.7087,
 2001-Oct-27 06:00, , , 3.93898819902179,  3.1700961,   86.7246,
 2001-Oct-27 09:00, , , 3.93921705866697,  3.1701405,   86.7404,
 2001-Oct-27 12:00, , , 3.93944592151098,  3.1701847,   86.7562,
 2001-Oct-27 15:00, , , 3.93967478753602,  3.1702286,   86.7720,
 2001-Oct-27 18:00, , , 3.93990365672433,  3.1702723,   86.7878,
 2001-Oct-27 21:00, , , 3.94013252905813,  3.1703158,   86.8037,
 2001-Oct-28 00:00, , , 3.94036140451966,  3.1703590,   86.8195,
 2001-Oct-28 03:00, , , 3.94059028309116,  3.1704019,   86.8353,
 2001-Oct-28 06:00, , , 3.94081916475488,  3.1704446,   86.8511,
 2001-Oct-28 09:00, , , 3.94104804949307,  3.1704871,   86.8669,
 2001-Oct-28 12:00, , , 3.94127693728798,  3.1705293,   86.8827,
 2001-Oct-28 15:00, , , 3.94150582812190,  3.1705713,   86.8985,
 2001-Oct-28 18:00, , , 3.94173472197708,  3.1706130,   86.9143,
 2001-Oct-28 21:00, , , 3.94196361883580,  3.1706545,   86.9301,
 2001-Oct-29 00:00, , , 3.94219251868034,  3.1706957,   86.9459,
 2001-Oct-29 03:00, , , 3.94242142149300,  3.1707367,   86.9617,
 2001-Oct-29 06:00, , , 3.94265032725606,  3.1707775,   86.9775,
 2001-Oct-29 09:00, , , 3.94287923595184,  3.1708180,   86.9933,
 2001-Oct-29 12:00, , , 3.94310814756263,  3.1708582,   87.0091,
 2001-Oct-29 15:00, , , 3.94333706207074,  3.1708982,   87.0249,
 2001-Oct-29 18:00, , , 3.94356597945850,  3.1709380,   87.0407,
 2001-Oct-29 21:00, , , 3.94379489970822,  3.1709775,   87.0565,
 2001-Oct-30 00:00, , , 3.94402382280225,  3.1710168,   87.0722,
 2001-Oct-30 03:00, , , 3.94425274872290,  3.1710558,   87.0880,
 2001-Oct-30 06:00, , , 3.94448167745253,  3.1710946,   87.1038,
 2001-Oct-30 09:00, , , 3.94471060897349,  3.1711332,   87.1196,
 2001-Oct-30 12:00, , , 3.94493954326811,  3.1711715,   87.1354,
 2001-Oct-30 15:00, , , 3.94516848031878,  3.1712095,   87.1511,
 2001-Oct-30 18:00, , , 3.94539742010784,  3.1712473,   87.1669,
 2001-Oct-30 21:00, , , 3.94562636261767,  3.1712849,   87.1827,
 2001-Oct-31 00:00, , , 3.94585530783065,  3.1713222,   87.1985,
 2001-Oct-31 03:00, , , 3.94608425572916,  3.1713593,   87.2142,
 2001-Oct-31 06:00, , , 3.94631320629560,  3.1713961,   87.2300,
 2001-Oct-31 09:00, , , 3.94654215951234,  3.1714327,   87.2458,
 2001-Oct-31 12:00, , , 3.94677111536179,  3.1714691,   87.2615,
 2001-Oct-31 15:00, , , 3.94700007382637,  3.1715052,   87.2773,
 2001-Oct-31 18:00, , , 3.94722903488848,  3.1715410,   87.2930,
